"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C9","2","22n","","","","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~"
"C2","1","1n","","","","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~"
"C4","1","100p","","","","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~"
"C5","1","2.2u","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"C6,C7","2","4.7u","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"C8","1","3.3n","","","","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~"
"C10,C13,C19","3","1u","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"C11","1","100u","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"C12","1","0.1u","","","","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~"
"C14","1","10u","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"C15","1","22u","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"C16","1","68p","","","","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~"
"C17","1","47p","","","","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~"
"C18","1","470n","","","","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~"
"C20","1","220n","","","","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","~"
"C21","1","470n","","","","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","~"
"C22","1","33p","","","","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~"
"D1,D2","2","1N914","","","","PCM_Diode_THT_AKL:D_DO-35_SOD27_P7.62mm_Horizontal","https://datasheet.octopart.com/1N914ATR-ON-Semiconductor-datasheet-42765246.pdf"
"D3","1","1N4002","","","","PCM_Diode_THT_AKL:D_DO-41_SOD81_P7.62mm_Horizontal","https://www.tme.eu/Document/5f8ffc5ac30fc86bac97d66040bf5502/1n400x.pdf"
"D4,D5,D6","3","Red","","","","PCM_SparkFun-LED:LED_5mm_PTH_Red_NoSilk","https://cdn.sparkfun.com/assets/e/c/e/c/5/COM-09590-YSL-R531R3D-D2.pdf"
"D7,D8","2","BAT41","","","","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85659/bat41.pdf"
"J1,J2","2","AudioJack2","","","","Connector_Wire:SolderWire-0.75sqmm_1x02_P7mm_D1.25mm_OD3.5mm","~"
"J3,J4","2","Conn_01x08_Socket","","","","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~"
"J5,J7,J8,J9,J10,J11","6","Conn_01x02_Socket","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"J6","1","Barrel_Jack","","","","Connector_Wire:SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm","~"
"Q1","1","J111","","","","PCM_Package_TO_SOT_THT_AKL:TO-92_Inline_Wide_DSG","https://www.tme.eu/Document/2ab8d7a6d6d8a209f9d7deeb52763e9f/J111.pdf"
"R1,R2,R8,R14,R18","5","1M","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R3,R6","2","1K","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R4,R10","2","47","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R5","1","560","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R7","1","1.5K","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R9","1","10K","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R11,R12","2","100K","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R13","1","2.2k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R15,R16,R17","3","22k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"RV1-GAIN1,RV2-FILTER1,RV3-VOL1","3","100K","","","","Daves customs:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical","~"
"RV4-BLEND1","1","100K","","","","Potentiometer_THT:Potentiometer_Alpha_RD902F-40-00D_Dual_Vertical","~"
"S1","1","SWITCH-3PDT","","","","Daves customs:3PDT",""
"SW3","1","SW_Rotary4x3","","","","Daves customs:RS26","http://cdn-reichelt.de/documents/datenblatt/C200/DS-Serie%23LOR.pdf"
"SW8","1","SW_Rotary2x6","","","","Daves customs:RS26","http://cdn-reichelt.de/documents/datenblatt/C200/DS-Serie%23LOR.pdf"
"U1","1","OP07CP","","","","PCM_Package_DIP_AKL:DIP-8_W7.62mm_LongPads","http://web.mit.edu/6.301/www/LM108.pdf"
"U2,U3","2","TL072ACP","","","","PCM_Package_DIP_AKL:DIP-8_W7.62mm_LongPads","https://www.ti.com/lit/ds/symlink/tl072h.pdf?ts=1635057479364"
